block,rate,spam,total
23650000,15,14,91
23650001,14,7,51
23650002,0,0,60
23650003,0,0,47
23650004,0,0,50
23650005,6,5,81
23650006,0,0,72
23650007,8,6,78
23650008,7,6,91
23650009,12,11,91
23650010,0,0,52
23650011,7,7,94
23650012,0,0,47
23650013,0,0,43
23650014,9,5,57
23650015,0,0,56
23650016,0,0,40
23650017,0,0,54
23650018,0,0,63
23650019,0,0,44
23650020,59,92,155
23650021,11,8,73
23650022,0,0,48
23650023,0,0,48
23650024,8,5,62
23650025,13,6,46
23650026,0,0,49
23650027,0,0,49
23650028,32,25,78
23650029,0,0,56
23650030,0,0,49
23650031,0,0,51
23650032,0,0,74
23650033,0,0,42
23650034,0,0,72
23650035,0,0,39
23650036,0,0,42
23650037,0,0,41
23650038,0,0,61
23650039,0,0,72
23650040,0,0,54
23650041,0,0,61
23650042,11,8,72
23650043,16,12,73
23650044,9,6,67
23650045,18,10,55
23650046,16,12,74
23650047,0,0,53
23650048,0,0,89
23650049,8,9,109
23650050,29,29,100
23650051,0,0,62
23650052,24,17,70
23650053,13,7,54
23650054,0,0,38
23650055,0,0,59
23650056,0,0,51
23650057,0,0,45
23650058,0,0,69
23650059,0,0,49
23650060,0,0,44
23650061,0,0,52
23650062,0,0,49
23650063,0,0,43
23650064,0,0,37
23650065,0,0,76
23650066,20,15,76
23650067,0,0,43
23650068,0,0,55
23650069,0,0,43
23650070,8,5,66
23650071,12,6,50
23650072,0,0,47
23650073,0,0,56
23650074,0,0,46
23650075,0,0,48
23650076,0,0,59
23650077,0,0,51
23650078,0,0,40
23650079,0,0,39
23650080,0,0,49
23650081,0,0,41
23650082,0,0,68
23650083,53,84,160
23650084,0,0,67
23650085,20,18,92
23650086,0,0,75
23650087,0,0,69
23650088,0,0,47
23650089,15,9,61
23650090,9,5,57
23650091,0,0,46
23650092,0,0,62
23650093,8,5,61
23650094,0,0,47
23650095,0,0,42
23650096,0,0,46
23650097,0,0,60
23650098,0,0,72
23650099,0,0,73
23650100,0,0,72
23650101,0,0,128
23650102,0,0,80
23650103,0,0,74
23650104,29,20,70
23650105,36,43,118
23650106,66,133,202
23650107,35,48,136
23650108,18,20,113
23650109,21,21,98
23650110,8,5,66
23650111,14,10,74
23650112,0,0,82
23650113,8,6,78
23650114,29,30,102
23650115,39,32,83
23650116,12,5,42
23650117,0,0,46
23650118,0,0,68
23650119,89,263,294
23650120,91,278,304
23650121,73,146,200
23650122,0,0,85
23650123,0,0,77
23650124,0,0,41
23650125,9,8,85
23650126,8,5,63
23650127,0,0,62
23650128,0,0,59
23650129,0,0,57
23650130,0,0,44
23650131,0,0,73
23650132,0,0,61
23650133,0,0,59
23650134,12,10,81
23650135,0,0,61
23650136,0,0,41
23650137,9,5,57
23650138,0,0,58
23650139,0,0,54
23650140,0,0,58
23650141,14,6,42
23650142,21,15,73
23650143,0,0,46
23650144,19,15,81
23650145,0,0,61
23650146,0,0,39
23650147,0,0,50
23650148,21,10,48
23650149,0,0,54
23650150,11,5,47
23650151,0,0,36
23650152,0,0,27
23650153,0,0,59
23650154,0,0,46
23650155,7,5,73
23650156,0,0,44
23650157,0,0,49
23650158,0,0,46
23650159,0,0,31
23650160,13,8,63
23650161,10,6,61
23650162,31,20,64
23650163,0,0,45
23650164,14,8,59
23650165,31,21,68
23650166,0,0,35
23650167,16,8,49
23650168,0,0,37
23650169,0,0,45
23650170,0,0,49
23650171,15,11,74
23650172,0,0,50
23650173,0,0,50
23650174,0,0,42
23650175,16,12,75
23650176,4,5,114
23650177,0,0,163
23650178,0,0,72
23650179,0,0,74
23650180,0,0,63
23650181,0,0,67
23650182,0,0,67
23650183,0,0,67
23650184,14,10,74
23650185,0,0,71
23650186,0,0,61
23650187,0,0,66
23650188,0,0,59
23650189,0,0,78
23650190,0,0,85
23650191,6,5,78
23650192,47,63,134
23650193,0,0,50
23650194,10,5,50
23650195,21,18,87
23650196,15,9,61
23650197,0,0,41
23650198,0,0,51
23650199,9,5,54
23650200,23,25,109
23650201,0,0,45
23650202,20,16,82
23650203,11,13,120
23650204,18,10,57
23650205,0,0,52
23650206,20,12,61
23650207,8,5,65
23650208,0,0,45
23650209,0,0,38
23650210,0,0,46
23650211,0,0,39
23650212,0,0,55
23650213,41,50,122
23650214,0,0,55
23650215,68,181,265
23650216,69,157,227
23650217,73,174,237
23650218,76,196,258
23650219,72,200,279
23650220,45,53,119
23650221,69,145,209
23650222,66,139,212
23650223,64,122,190
23650224,73,136,187
23650225,72,143,198
23650226,78,184,237
23650227,76,170,225
23650228,69,151,220
23650229,75,171,229
23650230,0,0,37
23650231,0,0,40
23650232,42,47,111
23650233,17,21,125
23650234,18,15,82
23650235,6,6,98
23650236,0,0,64
23650237,0,0,39
23650238,0,0,48
23650239,0,0,40
23650240,0,0,111
23650241,0,0,69
23650242,0,0,33
23650243,0,0,36
23650244,0,0,44
23650245,12,5,42
23650246,0,0,94
23650247,0,0,57
23650248,0,0,65
23650249,0,0,42
23650250,0,0,42
23650251,22,19,85
23650252,28,16,58
23650253,9,5,55
23650254,32,25,77
23650255,74,213,289
23650256,9,6,69
23650257,11,6,56
23650258,0,0,50
23650259,0,0,68
23650260,0,0,61
23650261,7,5,72
23650262,0,0,43
23650263,0,0,51
23650264,8,5,59
23650265,0,0,46
23650266,10,5,51
23650267,0,0,61
23650268,0,0,58
23650269,0,0,59
23650270,11,5,45
23650271,0,0,56
23650272,0,0,28
23650273,10,6,61
23650274,0,0,60
23650275,0,0,45
23650276,0,0,78
23650277,15,10,68
23650278,8,5,61
23650279,8,5,66
23650280,8,5,62
23650281,0,0,53
23650282,11,5,44
23650283,0,0,47
23650284,0,0,52
23650285,10,5,48
23650286,0,0,55
23650287,10,5,50
23650288,0,0,44
23650289,0,0,47
23650290,10,5,52
23650291,0,0,59
23650292,11,5,47
23650293,11,6,57
23650294,0,0,53
23650295,12,5,43
23650296,12,5,42
23650297,0,0,49
23650298,0,0,46
23650299,11,6,55
23650300,0,0,36
23650301,0,0,45
23650302,0,0,46
23650303,0,0,47
23650304,0,0,90
23650305,42,66,159
23650306,15,15,99
23650307,24,22,93
23650308,36,43,118
23650309,20,18,88
23650310,18,14,79
23650311,32,29,90
23650312,0,0,63
23650313,7,5,74
23650314,31,38,121
23650315,0,0,85
23650316,0,0,0
23650317,47,69,146
23650318,82,241,295
23650319,14,11,81
23650320,44,18,41
23650321,14,12,84
23650322,19,15,81
23650323,0,0,32
23650324,0,0,71
23650325,17,10,59
23650326,22,10,46
23650327,9,7,82
23650328,0,0,32
23650329,11,9,79
23650330,0,0,40
23650331,8,6,75
23650332,0,0,37
23650333,0,0,36
23650334,26,23,89
23650335,16,10,64
23650336,7,6,88
23650337,0,0,31
23650338,21,6,28
23650339,11,10,88
23650340,0,0,82
23650341,12,12,104
23650342,50,84,167
23650343,51,101,200
23650344,86,266,309
23650345,38,52,138
23650346,53,83,156
23650347,56,130,231
23650348,83,203,246
23650349,47,141,303
23650350,46,86,187
23650351,36,38,105
23650352,0,0,33
23650353,0,0,9
23650354,67,60,89
23650355,12,13,111
23650356,6,5,83
23650357,15,9,59
23650358,75,166,222
23650359,72,139,193
23650360,0,0,0
23650361,18,19,108
23650362,25,11,44
23650363,0,0,59
23650364,70,139,198
23650365,59,84,143
23650366,0,0,46
23650367,0,0,41
