address,spamcount,txcount
0xca7C88275AD3a4cd0a0e0f3d0faFE9381B4047B7,1579,2143
0x74EC39564ec6b70C28ea19C3645281E672C4e5fB,732,1148
0x3CE07ad298ee2b3aAbEA8c8b3F496C3ACc51e647,214,20945
0xffB2ca78E8e72411e82D8684Ac752846868D4F86,201,1162
0x9B814233894Cd227f561B78Cc65891AA55C62Ad2,169,12091
0x0A4D50Abf33eE412F4F08CA3c0783eaa37d3e875,74,104
0x88888CF840E3C269c46FeDDD856a8fe8675aA236,68,196
0x88888846B627c2405c4b8963e45d731b7CDDA406,68,257
0x8888804bfF65C284F88eE11007AEf6D58339aCe8,67,181
0x888889BaEF24B535Cf1CdA9391E5758e97E1C98D,67,149
0x888889A2B8F5F0Bc65fe882bf68F55b43eb6b8EE,66,150
0xf37004568d6befF5B0F21c5AFD6d5acBD5b1B342,65,65
0x990eD0b71C83C562C9555e809616a272c35036bF,64,64
0xFD7f6c861E8Bb015329F8180158CC9082B615340,62,537
0x930Ec2B0ef816f7Cb02647E9b613eb8d6e5C4B6D,59,573
0x9eFBA125034601c2aA1c0dfDfE8F652B0E16472E,57,59
0x31534665822302d70D435a69E97E62908D250E2e,56,229
0xC0054Cf94fAF21F2C77F9622331F69194865fD21,56,57
0x97e4999549FCC86768D6F48C91Fc4E514523dD3F,56,62
0xA3718C1D492E660a8cD1C0C9B8b88B42405B2008,56,60
0x97E5bf2E837d0Df12AF03add7A679a587afaF3C5,56,61
0xbaeE54B1D70456340Cc0931f22d09b4E7113C574,55,57
0xABb93d0E5E4F778b7105F7E820B960934AFDfE77,53,57
0x31ff47e2e65EA797Faa493fBb904a381822cd0A3,53,60
0x0f4240D067EDe052b12946aDfE3F99A331BB64bB,53,53
0xFBE3976bF0170e70a27261A0113Aa7c32E79B685,51,57
0x0f4240ECcF75E42662A9f0b5927cEEBed4808199,51,51
0xF3278dAADf2e03081CfdA7f29A92750F5458D67b,50,58
0xE480019157D086f7759077528863f53BD7677F74,50,55
0x27eE65B6678bb364672557E417F67645F95c142C,50,55
0xA8974C0cc37D961e663Ad5874D6caeEaab5769B8,49,56
0x90aBd50C5bD574A07eAD72C6E1CCDD01A959FACe,49,51
0xeC8501D13790E06441705c180a78065534c8360B,49,118
0xA50E7dD94c958284cAF50Ab3dD6eA5F3DE7e99df,48,52
0xdc2E24Dbfd348842a32f86A66AEF2090e48f323e,48,54
0x0f4240A37e3c90F9eB02926D42421cdb0328EE87,48,48
0x0f42401eC92cC771177F6Cee6cBBF6E8DAe442cd,48,48
0x1244CF8339e4d97D873C789A91Fcbc1a6f7F9589,47,51
0xec1Eb9C29B50617Bc89C0b360527240739841f2e,47,48
0x0f42404946D99B909b47d8fc83F0C35f350F3dB2,47,47
0x0f424082021EcAE3ACc8c3BF59F0C94C60aE1997,47,47
0xBD24C5f1B52c0C4631886c11c080ea650941EF2C,46,74
0x0f424090a2AaFeD63aFEFCEAD44E6dFDb77B6a8E,46,46
0x0f424011e611701612a10874FCaF0e4Bd54cf17C,46,46
0x0f42405C6cC1d120281b4f231B0ae85Db1556D69,46,46
0x0f4240220beabA40E75A15e68340719f3EbE0a5d,46,46
0x0f4240676363ee07225b0Cd998E874D6956af7a8,46,46
0x0f4240eAe38d72d4ce1AdBf0A4a878A3dA47EbAF,46,46
0x0f424024c2269Ea4d370290288e36de31da838f3,46,46
0x9164e59E8860c4abA2816b7d39cEF181EeE7e1b1,45,557
0x0f4240561E4985Dd115126565CeD83379c44B5e4,45,45
0x0f424046C7e2CB849e99DE30697cC240CD03CAde,45,45
0x0f424049AeE5759927E220C64A4FFA305b20646e,44,44
0x0f4240EE240FA56217CD3047738195DcBad69b31,44,45
0x0f424080063a360369Ead2f89514885d5b5DF96A,44,45
0x0f424091293C9f7aAb1756004011Dec5a954A59B,44,44
0x0f4240bD5cF4E09407e7EE8Bb892FE2B250EAF53,44,44
0x0f424058c2294479cB77A2D6DCa07248C0255313,44,44
0x0f424072d0acB9F4Fb8A8B0A02B54A15dA4d9724,44,44
0x0f424030c692D31Eb9e2D5e772d3B472d14024D3,44,44
0x0f42402088cA0E9C8460d1b2CDE0021Ef5ae5890,44,44
0x0f424036E841318c5A9a7Cd0A17f4013a3B64BA3,44,44
0x0f4240756DF1650782651Cfd2a6887250D546e80,44,44
0x0f42406dD90148Cc8F7CEAb713F0D9B9b59eFe49,44,44
0x4a90012518bB0F9909C781fA9174D4FFd4CA2d88,44,67
0x15177a71AF4ddE1e190c6a183a8AFCf39ae2224A,43,549
0x0f4240C8Bc323b74efc76736C0202CFd8905B407,43,43
0x0f42403cBcC729f5B74E4B7bE20eeB9bF4CE11f0,43,43
0x0f4240104Ac103bf9d1ae14A6cdDF988604AD4c9,43,43
0x0f424025DD97455C801D65283EbEb594275e6848,43,43
0x0f4240659588E48C87E55Fe1FF9eE479C672830A,43,43
0x0f4240a90964F0125F3D690b603E62Fd7d4b584e,43,44
0x0f4240C4061939c481a46B0D6474B18D92d136D9,43,43
0x0f4240F2B89229D1be1bcC16714c2E84f7669D9D,43,44
0x0f4240F16302617B611eacFF3ed3De7C6e4f6835,43,43
0x0f4240c03F613d67B664462a1A8d7ACf8339c90E,43,43
0x0f4240A88402Fec6D7CF019EA3aBF5D25c47c1C4,43,45
0x0f4240A4Ae90ED91737fEC4e7FFa2f36a63D7184,43,44
0xa8a6607859D751e2D690f12FeeD88156cfAC01dd,42,535
0xc7a894EB2f1C34CB5f1Ae88af795FdE1CE3dD187,42,532
0x0f424013bC3271a15CB0C890bE5505e09F2b5083,42,42
0x0f4240255Adf1f1900420c64729034517e5d972F,42,42
0x0f4240A6EED3C907648661603EB8C00D4dF3e4c7,42,42
0x0f4240120aB2e46278C6cE5CCADaf1b1DcB5F460,42,42
0x0f424088e6E55C617B89271c9e5A1f8D6bED6FB9,42,42
0x0f4240DF99DfdaF30D72eFa2E5E48e45dD0ac6e2,42,42
0x0f4240A5eA65C28B8bcFc570e21eA00A13f00b03,42,43
0x0f4240AFe8b278dEd37a05bC6A8340a39fc46301,42,42
0x0f42409d94CE646338912fbafE477676FACC2177,42,42
0x0f4240aD68848AF03B95ab296e81bcA272D1F7a7,42,42
0x0f42409A08718938776f336E756d286d58d5bAB4,42,42
0x0f4240DB4a0219a2f665f857FbFDD32fA3a88a1d,42,43
0x0f4240497FFbEb95F89A448325A597E16B26A726,42,42
0x0f424005c466aD5496255df226D889a1dD2CCb5c,42,42
0x0f424095ff0d4042CAF25fE5FBDfb27e33Bbc514,42,42
0x0f4240cBF99Ca24381306F68643c97AbfA10880d,42,43
0x0f4240e904fcCEF16E865c1FC33F1569505Ea28d,42,42
0x0f42403837f2479cF82aE1D8b9C4eF0bACB856FD,42,42
0x78575349911Fd7A2399d1106937CEb41cCFE3717,41,609
0x0f4240B9071f9B89A5Ba99cC8c0dbd7a9bfC637a,41,42
0x0f42404Bd05e17643fe87367Ef6c6dE712Ef1db5,41,42
0x0f42403C48394B8E1Ff19df36191A72443C48982,41,41
0x0f4240A4d9618a1B4FaC0e5E579FEC75fce529da,41,43
0x0f424076334173Ce21858869B1119001f51c66Fe,41,42
0x0f4240ef2863617f7D00f5369aF2D2aD6D6302F6,41,41
0x0f4240102D23e5a9a7b9a353f72090b1Ec4D64aE,41,41
0x0f42402cD8B29430b1d2d3b70b0794D0ea9e6a79,41,41
0x0f4240b7c96626911Add6fE1f92ED08BD46e0709,41,41
0x0f42409cF4Ad14eF6f3B38b5d0B9BFd17E8D3DEd,41,41
0x0f42406308C0A799542f0546AadECE66393e14D4,41,41
0x0f424076d2FbC26EDA54b6e42438b3733f52Af81,41,42
0x0f4240C9EE2669c3565577D558779EF4990D3C6c,41,41
0x0f42407d094aCcc8d4491AF2A78478d238e65A46,41,41
0x0f42407AFDeB5fe64b65D331E799c6207B2B005E,41,43
0x0f4240fe45f54b6112c247f0815171d932E71a23,41,42
0x0f4240Dd4766Ee81F999E1F273777ae051A9Bc9e,41,42
0x0f4240f2a3C47A64dbFbD74F0853C3f9580d5502,41,42
0x0f4240e4A14E2E02B4c197bC3C3610deE2bBD44D,41,43
