contract,numTransactions,label
0x84E5Bc3dF0df0f543648f250443c6f4077218312,13935,arbitrage
0x65b09b12bF46f364F68F5bFF0bfC5d8b54368971,10430,arbitrage
0xD0d3C62BEFcDb84C01Be1c209f15a8bf571900cE,9807,arbitrage
0x99b5637633352baDDBB6cEE9B7D65e84935623Dc,6683,arbitrage
0xfB7316Fb56FD2a8fDb925321b8f616eEF106Db33,5037,unknown (pegaxy stone?)
0xa81cE04168e41A47F68a975d67a00fbeF729af9B,4310,arbitrage
0x8F4014909519A1Cd4226CD306e5e111238e611b1,3419,arbitrage
0x86f0d31D7b721F42B67a57583bA0c4822F7a17E9,2105,arbitrage
0x3dB30FaDa51069769147a40d30efA202c1404F30,1729,arbitrage
0xCCa962686A92721e2A0AB9fd50c7335d7694a12E,1579,unknown (ddos?)
0x875B1a5595a11e8AC42010C378779A6715519F6C,1567,arbitrage
0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,1151,unknown (ddos?)
0xE35F0C92d65f06e3c0a63Baea8212AE38882CCA7,959,
0x8b6cDC30d1bb419169d38073Fe5E1f28019bB291,900,
0x7C2Cd76b6c3a3C50Ab730C6719C1C9a5eB537664,898,
0x71AE763A52D26982373210922e3cE0415cB57F77,897,
0x3C8cE0A23185bB3D4AAa15AF4CE4c389fF5c2970,732,
0xfb4166F75C187E3dE9b117406b9b08DF3BF5bCD8,622,
0xc77593eF5A16D53C6E9F22355B6Be2e976017eD2,549,
0x8a6ceC6d689D87143cf9306E08c8015a5Db8aeAC,522,
0x28E73C83C0f85784543300B96A1A3c2e900F7a35,494,
0x00000000008ACE292e5C274BE46D30116fAb4ee2,483,
0x0b1413E95202570287F490F6CAe04F60Ec1018BE,412,
0x6496618f2979299A1288f05EB9719aF0B0d1851d,387,
0x9De17C32d50508C8d120aE548131dD090Fedb4c5,376,
0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,346,
0x60BcF95197F2BD01D8f19824Eee88eE84B44B2AF,274,
0x3CE07ad298ee2b3aAbEA8c8b3F496C3ACc51e647,214,
0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,185,
0x7227e371540CF7b8e512544Ba6871472031F3335,179,
0xb7c562e33956519255956D73FFe47e4c0aF10636,171,
0x9B814233894Cd227f561B78Cc65891AA55C62Ad2,169,
0xaa2BD5869229a970D097464a4b80b1689e513c05,141,
0x8eD42bEd5611Da447a6bC499312Dd3195bAc6C91,133,
0xcE34375E4e731F1F2eCb7533b8926b4Fc6A36951,130,
0xe7ca1E47c3902C8d33D3c07F68A4115f3C341269,129,
0x59162A66f6257F268FC76Cd237126d046a544EDA,118,
0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,111,
0x89aAC1F5cCDd54dd8A09e5c858F19a665E4fA32b,106,
0x88b20F1462b1Ced77e8C867bA8a2E6060fD0D5Cb,105,
0xadad799F9977687393C52046844D3996614C8C07,103,
0x73D144dAAce606d3E6BA266f16024F58F750e8c5,102,
0x3Fce1b802BFAbbE42fDA805940209973E3b9795c,101,
0xc899aB716F2a04241D60C751141C455745DDeF8B,99,
0xDe39FeFF64bE58B363e7b0DD417F353C8dE66729,98,
0x78B4733FEF7Ee3a5e233D9D7840ac7Af174CA2Ad,95,
0x70831901D9D000515491231fB43be1Bc0E549eE0,90,
0x1890879C6D9f906D5240227b2C2ce9554865FD0a,90,
0xa4399d9e52135ba39AC219Ec3c328f90af270EF4,88,
0x18214e5691A116995a5b6F6A8a4029BC7574C47A,85,
0xdAE326778Dcd31249dA66527749d04Ce0f63b508,85,
0xE00655cce57D71c3622cAab56816c421b66a48b5,85,
0x7D9c6e2Be54299e6B8C5B256B5d5D458e585b913,83,
0xF6aB3535f6bcD0403919276f3731dFf200Caf0b8,81,
0x820ef56b0817edf37353bd5E8BeD25f35B310cb3,80,
0xbA863086C93fb97Ae74225931995b1206B7Fde60,79,
0xE69a8e4dF9bEc4E76259704B748f5DE074516a70,79,
0xa8F53ab772dd9906b06c74889e9b996BF18E3F86,79,
0x1Be9b835f34B6D01Ad1AB8BEB5e40A9c4f160D82,78,
0xC112ca1dF91fE2eB3d3663EEd24129180347aF0A,78,
0x41BAda684e74Ece5Cad431C67B72fa9688185C47,74,
0x504Df711c06b406629A78Dce63fb507C95c6D8F6,73,
0x34DE7FA06Ad0B7C9de0514FC0CaDE2476db2C6E0,71,
0xcc99954275e155aB5237E27b509a901B8Ecf6bb1,65,
0x96bF6c072fE2B9582180894b9c06073dF1060bf5,64,
0x15E1E50C1Bf0947E342895BFa3D66d4E4161B88f,62,
0xFB8edC880358260449D33208A4e8c65B319ADb9b,62,
0x4f64630C413149FceaB56D8DB229A36D909c6887,61,
0x31997B848Beeb66CF3afD609Cb16a1957De88Cc3,59,
0x700912ea2F1F969425Cb068A5d7f0F297aD5588C,56,
0x5e661eC3Ea6619E32Cc37f4cBC9d36E6E5c2E1e8,55,
0x194E5ae3D4B8b3134ACABE0cec08842acEeeee96,54,
0x0f1884383B3ce2737732C7698c8B7fa433A146D8,54,
0xbeB6e0aE5616559663DDC202e6ba00Dfdedc098C,53,
0x7F46867e7063856AEc871Befa017d9237853EEa3,52,
0x29ee020c6b9B9092d03Ad8F0e1293F936e48E7E3,52,
0x383E79486D3EcDCdDc85ce59c4AAc7F1a6637AE8,52,
0x0DEF7259736F7d6Af8a2A59E35eC9b1da7e0c820,51,
0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,51,
0x1045E66149da028a0F625624a878C6B0765712Ee,51,
0xdBDFC363C5F6Cb5a2e9112F9253084327700192c,51,
0xc8de43410aA048e29C7c9d8DFC39F56644e65Aa4,50,
0xF4C288FEaaEdE002FcF548ff5070182Db982707D,50,
0x42C8C9df9b563ed81589C31B93938ca51D9C7ed6,49,
0xcffd05069f618F02e49308A2d906Dcb9C65B51C2,48,
0x10FD6824e54756F609bF08EF223E31c7e4d94E47,48,
0xCB159ec438d15C9beC8D0e751D870ECd9167B7b7,47,
0xc1608327B8F0d389C1024C63246c1c2bB27C529c,46,
0x8094C9563a434ec25c9e1450B5f117127a35029b,46,
0xDc9fA56010d125D775F5963D24eD7f1eC4AC6DDD,46,
0xCF8798BbE7a51051F19b73CE7d99F661196288FE,46,
0xE9aaf8F7E0606B617E4537801a76b36adff0FcD9,46,
0xE403B6094d913172f67224490bF9CbecB07E9914,45,
0x095A4D1b1FA8CfD4f802bDC31222B4970a815685,45,
0xa9a0C4c86a9d9fE97D2B5D3a1cc194caEF51ECE1,45,
0xD334627dd65461D3D8a48fCDd10Da21783431311,45,
0xfb8D472292B47d87D55051C6d6792c1817eA2F9C,44,
0xbA704f21Dd900d675941D0a7E2256F029135cBB0,44,
0x2Ed7E9fCd3c0568dC6167F0b8aEe06A02CD9ebd8,42,
0xD50D167DD35D256e19E2FB76d6b9Bf9F4c571A3E,41,
0x621eE310C784ab3D093f4a60423243aeCb4016d3,41,
0x7C00D7b0fEAeBd9cEF86875925EA200cAb83eed8,41,
0xd27CB163F5d253c5750b38ebDFeeb9Ca198622F7,40,
0x7cdF25D6933205Ec8E02D1DCf9eB0034EFEa4a80,39,
0x7EeA3d14617914d7Fc2A9Deb9D851aBdf850EA94,38,
0xD672893F1d5B4C1779ed5A8376ABea8081d013FF,38,
0x7653bA65F7e231d3008F64f90e0FB5af2819FA94,38,
0x1a1ec25DC08e98e5E93F1104B5e5cdD298707d31,37,
0xD1757D7C8F42cd3185E41E9361a0bB38c0fcBcea,37,
0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,34,
0x12aBeD1ADC6f8B4E3a2940C532e0cc8E2C17B8C4,33,
0x6761E5bB960A7B4D327f97CF0d83E25139AcD41a,32,
0xc1b4eb1fe54bEfE3d24ABe710fbe09EF82537e2f,30,
0x8cd31B315bfBcb24E046F85EC1d6848B8bF643b4,30,
0x5805536427Aa70E55FC2b9Ae441F9B5e3267889d,30,
0x0000000000000000000000000000000000000000,30,
0xF41Bd21D2d671BfEAd12849B4AbBFC4CBfD01635,30,
0x6320eF12387E57Ad68e7F20Ca93f1B0FAc03abE5,29,
0x72A53cDBBcc1b9efa39c834A540550e23463AAcB,28,
0x5bcb66A3C81892a98907BAC60764645530C75d42,27,
0x5205c6ae35e5fceF0788D269DC97B12D39e689bD,27,
0xB757C05E415eD00C923DA9908987EAAD9C279135,27,
0xC113d3a41dc3af4D62ad0dB1E7d366a2587645EE,26,
0x2cA5281d1968635E60DBD44d653A0CAa4Ff84b82,26,
0x176Cb8D617AfEd8CA545c07827494a519bB61b3d,25,
0x4b43E6bd39DB1481ee04CA7e3B7fDB7e4Ed8fD93,25,
0x5D3cf5F246A7e80FDc333b74a55B26E6BCb80744,25,
0xe7804c37c13166fF0b37F5aE0BB07A3aEbb6e245,23,
0xd0ebf828D619C3542AfC118fB694383AE012180e,20,
0x426960D43B5f4C70F5593244b8a8B0cC69F8b9e1,20,
0x8a367E9091d28A3C548B0c8225233041AcD87a4C,19,
0xFb7f91dB3a7e2fa21583a1461983e624903139FF,19,
0x37EFBe2946195cF8527468Eb94909305B4211733,19,
0x86c3D1803b03fC509eAF7625579e77E4d21aAb15,18,
0x02bc4F42b998FC23355c780A756446d9998d78dE,17,
0x4fB520Ee0A14d8f0C39c5168F3098438CB3dce56,17,
0xC6D34d045ECB4ee26A91c71f30a5C327FeB67a43,17,
0x619f3C0C9810e3C22c4690Da700a60325E332477,16,
